"12bf -- Household income and expenditure by area, annually, 2000-2020",,,,,,,,
,,,,,,,,
Sector,Area,Transaction,"2015 At current prices, millions of euro","2016 At current prices, millions of euro","2017 At current prices, millions of euro","2018 At current prices, millions of euro","2019 At current prices, millions of euro","2020 At current prices, millions of euro"
S14 Households,MK19 Lapland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",826,836,834,839,865,880
S14 Households,MK19 Lapland,D61K Employer's social security contributions,782,804,783,797,819,780
S14 Households,MK19 Lapland,"D7K Other current transfers, expenditure",145,137,143,140,145,143
S14 Households,MK19 Lapland,"B6N Disposable income, net",3529,3549,3717,3718,3801,3777
S14 Households,MA2 ÅLAND,"B2N Operating surplus, net",61,63,64,61,55,58
S14 Households,MA2 ÅLAND,"B3N Mixed income, net",58,45,55,47,62,62
S14 Households,MA2 ÅLAND,"D11R Wages and salaries received, income",510,516,520,534,557,542
S14 Households,MA2 ÅLAND,"D12R Employer's social security contributions, income",118,121,112,110,113,103
S14 Households,MA2 ÅLAND,"D4OMR  Property income, (incl. holding gains and losses), income",122,110,91,101,104,100
S14 Households,MA2 ÅLAND,"D4K Property income, expenditure",7,5,4,5,5,4
S14 Households,MA2 ÅLAND,B5N Net national income,862,850,839,848,886,861
S14 Households,MA2 ÅLAND,"D62R Social benefits other than social transfers in kind, income",221,225,231,219,226,240
S14 Households,MA2 ÅLAND,"D7R Other current transfers, income",12,12,14,13,14,13
S14 Households,MA2 ÅLAND,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",173,171,170,159,176,174
S14 Households,MA2 ÅLAND,D61K Employer's social security contributions,171,174,168,169,176,166
S14 Households,MA2 ÅLAND,"D7K Other current transfers, expenditure",33,33,33,31,33,34
S14 Households,MA2 ÅLAND,"B6N Disposable income, net",718,708,713,720,742,741
S14 Households,SA5 Åland,"B2N Operating surplus, net",61,63,64,61,55,58
S14 Households,SA5 Åland,"B3N Mixed income, net",58,45,55,47,62,62
S14 Households,SA5 Åland,"D11R Wages and salaries received, income",510,516,520,534,557,542
S14 Households,SA5 Åland,"D12R Employer's social security contributions, income",118,121,112,110,113,103
S14 Households,SA5 Åland,"D4OMR  Property income, (incl. holding gains and losses), income",122,110,91,101,104,100
S14 Households,SA5 Åland,"D4K Property income, expenditure",7,5,4,5,5,4
S14 Households,SA5 Åland,B5N Net national income,862,850,839,848,886,861
S14 Households,SA5 Åland,"D62R Social benefits other than social transfers in kind, income",221,225,231,219,226,240
S14 Households,SA5 Åland,"D7R Other current transfers, income",12,12,14,13,14,13
S14 Households,SA5 Åland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",173,171,170,159,176,174
S14 Households,SA5 Åland,D61K Employer's social security contributions,171,174,168,169,176,166
S14 Households,SA5 Åland,"D7K Other current transfers, expenditure",33,33,33,31,33,34
S14 Households,SA5 Åland,"B6N Disposable income, net",718,708,713,720,742,741
S14 Households,MK21 Åland,"B2N Operating surplus, net",61,63,64,61,55,58
S14 Households,MK21 Åland,"B3N Mixed income, net",58,45,55,47,62,62
S14 Households,MK21 Åland,"D11R Wages and salaries received, income",510,516,520,534,557,542
S14 Households,MK21 Åland,"D12R Employer's social security contributions, income",118,121,112,110,113,103
S14 Households,MK21 Åland,"D4OMR  Property income, (incl. holding gains and losses), income",122,110,91,101,104,100
S14 Households,MK21 Åland,"D4K Property income, expenditure",7,5,4,5,5,4
S14 Households,MK21 Åland,B5N Net national income,862,850,839,848,886,861
S14 Households,MK21 Åland,"D62R Social benefits other than social transfers in kind, income",221,225,231,219,226,240
S14 Households,MK21 Åland,"D7R Other current transfers, income",12,12,14,13,14,13
S14 Households,MK21 Åland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",173,171,170,159,176,174
S14 Households,MK21 Åland,D61K Employer's social security contributions,171,174,168,169,176,166
S14 Households,MK21 Åland,"D7K Other current transfers, expenditure",33,33,33,31,33,34
S14 Households,MK21 Åland,"B6N Disposable income, net",718,708,713,720,742,741
S14 Households,HVA01 East Uusimaa wellbeing services county,"B2N Operating surplus, net",173,179,182,191,198,206
S14 Households,HVA01 East Uusimaa wellbeing services county,"B3N Mixed income, net",172,156,159,155,172,169
S14 Households,HVA01 East Uusimaa wellbeing services county,"D11R Wages and salaries received, income",1648,1655,1697,1761,1813,1804
S14 Households,HVA01 East Uusimaa wellbeing services county,"D12R Employer's social security contributions, income",382,388,365,363,365,343
S14 Households,HVA01 East Uusimaa wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",232,212,232,256,252,250
S14 Households,HVA01 East Uusimaa wellbeing services county,"D4K Property income, expenditure",20,14,12,14,14,11
S14 Households,HVA01 East Uusimaa wellbeing services county,B5N Net national income,2587,2575,2623,2713,2786,2760
S14 Households,HVA01 East Uusimaa wellbeing services county,"D62R Social benefits other than social transfers in kind, income",710,727,736,748,768,814
S14 Households,HVA01 East Uusimaa wellbeing services county,"D7R Other current transfers, income",43,42,49,45,49,46
S14 Households,HVA01 East Uusimaa wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",576,575,585,589,608,616
S14 Households,HVA01 East Uusimaa wellbeing services county,D61K Employer's social security contributions,554,566,555,562,575,551
S14 Households,HVA01 East Uusimaa wellbeing services county,"D7K Other current transfers, expenditure",81,76,80,79,82,81
S14 Households,HVA01 East Uusimaa wellbeing services county,"B6N Disposable income, net",2128,2127,2189,2276,2338,2373
S14 Households,HVA02 Central Uusimaa wellbeing services county,"B2N Operating surplus, net",350,364,370,388,404,384
S14 Households,HVA02 Central Uusimaa wellbeing services county,"B3N Mixed income, net",197,340,226,218,236,243
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D11R Wages and salaries received, income",3540,3589,3668,3820,3962,3929
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D12R Employer's social security contributions, income",820,841,788,787,799,746
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",397,348,410,445,441,427
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D4K Property income, expenditure",36,26,22,24,25,20
S14 Households,HVA02 Central Uusimaa wellbeing services county,B5N Net national income,5268,5456,5440,5634,5818,5709
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1330,1363,1389,1424,1465,1565
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D7R Other current transfers, income",80,77,89,82,90,85
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1163,1180,1193,1198,1249,1270
S14 Households,HVA02 Central Uusimaa wellbeing services county,D61K Employer's social security contributions,1187,1226,1198,1220,1251,1196
S14 Households,HVA02 Central Uusimaa wellbeing services county,"D7K Other current transfers, expenditure",153,144,152,151,156,152
S14 Households,HVA02 Central Uusimaa wellbeing services county,"B6N Disposable income, net",4176,4345,4376,4571,4717,4741
S14 Households,HVA03 West Uusimaa wellbeing services county,"B2N Operating surplus, net",788,816,826,896,970,898
S14 Households,HVA03 West Uusimaa wellbeing services county,"B3N Mixed income, net",611,614,605,562,600,589
S14 Households,HVA03 West Uusimaa wellbeing services county,"D11R Wages and salaries received, income",9282,9448,9714,10096,10332,10396
S14 Households,HVA03 West Uusimaa wellbeing services county,"D12R Employer's social security contributions, income",2140,2202,2069,2070,2065,1957
S14 Households,HVA03 West Uusimaa wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",1465,1499,1469,1650,1500,1739
S14 Households,HVA03 West Uusimaa wellbeing services county,"D4K Property income, expenditure",85,58,48,54,55,45
S14 Households,HVA03 West Uusimaa wellbeing services county,B5N Net national income,14201,14521,14634,15220,15412,15535
S14 Households,HVA03 West Uusimaa wellbeing services county,"D62R Social benefits other than social transfers in kind, income",3358,3438,3511,3585,3694,3901
S14 Households,HVA03 West Uusimaa wellbeing services county,"D7R Other current transfers, income",164,159,183,167,181,171
S14 Households,HVA03 West Uusimaa wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",3395,3509,3573,3593,3668,3772
S14 Households,HVA03 West Uusimaa wellbeing services county,D61K Employer's social security contributions,3087,3200,3126,3187,3236,3141
S14 Households,HVA03 West Uusimaa wellbeing services county,"D7K Other current transfers, expenditure",328,310,325,321,332,325
S14 Households,HVA03 West Uusimaa wellbeing services county,"B6N Disposable income, net",10913,11099,11305,11871,12051,12368
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"B2N Operating surplus, net",388,407,413,445,478,539
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"B3N Mixed income, net",312,278,249,238,275,243
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D11R Wages and salaries received, income",4568,4673,4845,5111,5391,5387
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D12R Employer's social security contributions, income",1059,1094,1040,1053,1086,1023
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",362,345,494,523,491,435
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D4K Property income, expenditure",35,25,21,24,25,21
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,B5N Net national income,6654,6772,7019,7347,7696,7607
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1782,1833,1864,1901,1966,2106
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D7R Other current transfers, income",83,79,92,85,91,91
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1419,1447,1473,1485,1553,1565
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,D61K Employer's social security contributions,1536,1599,1583,1632,1698,1635
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"D7K Other current transfers, expenditure",162,154,162,160,167,169
S14 Households,HVA04 Vantaa and Kerava wellbeing services county,"B6N Disposable income, net",5403,5483,5757,6055,6335,6435
S14 Households,HVA05 Southwest Finland wellbeing services county,"B2N Operating surplus, net",765,793,790,803,795,805
S14 Households,HVA05 Southwest Finland wellbeing services county,"B3N Mixed income, net",669,689,695,755,748,759
S14 Households,HVA05 Southwest Finland wellbeing services county,"D11R Wages and salaries received, income",6771,6871,7019,7372,7693,7663
S14 Households,HVA05 Southwest Finland wellbeing services county,"D12R Employer's social security contributions, income",1569,1609,1510,1521,1553,1457
S14 Households,HVA05 Southwest Finland wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",1083,1076,1178,1184,1188,1130
S14 Households,HVA05 Southwest Finland wellbeing services county,"D4K Property income, expenditure",84,61,52,58,59,48
S14 Households,HVA05 Southwest Finland wellbeing services county,B5N Net national income,10775,10977,11141,11576,11917,11766
S14 Households,HVA05 Southwest Finland wellbeing services county,"D62R Social benefits other than social transfers in kind, income",3746,3792,3823,3852,3945,4139
S14 Households,HVA05 Southwest Finland wellbeing services county,"D7R Other current transfers, income",193,195,224,203,219,205
S14 Households,HVA05 Southwest Finland wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",2414,2467,2461,2511,2557,2581
S14 Households,HVA05 Southwest Finland wellbeing services county,D61K Employer's social security contributions,2290,2357,2308,2366,2451,2352
S14 Households,HVA05 Southwest Finland wellbeing services county,"D7K Other current transfers, expenditure",350,330,347,348,360,349
S14 Households,HVA05 Southwest Finland wellbeing services county,"B6N Disposable income, net",9659,9810,10072,10406,10713,10828
S14 Households,HVA06 Satakunta wellbeing services county,"B2N Operating surplus, net",394,405,406,392,361,425
S14 Households,HVA06 Satakunta wellbeing services county,"B3N Mixed income, net",328,330,368,311,354,348
S14 Households,HVA06 Satakunta wellbeing services county,"D11R Wages and salaries received, income",3013,3033,3084,3194,3255,3209
S14 Households,HVA06 Satakunta wellbeing services county,"D12R Employer's social security contributions, income",694,707,660,655,654,607
S14 Households,HVA06 Satakunta wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",394,394,438,440,398,390
S14 Households,HVA06 Satakunta wellbeing services county,"D4K Property income, expenditure",39,29,24,27,27,21
S14 Households,HVA06 Satakunta wellbeing services county,B5N Net national income,4784,4840,4932,4965,4994,4958
S14 Households,HVA06 Satakunta wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1847,1863,1860,1857,1896,1974
S14 Households,HVA06 Satakunta wellbeing services county,"D7R Other current transfers, income",101,105,119,109,118,114
S14 Households,HVA06 Satakunta wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1054,1084,1069,1062,1093,1105
S14 Households,HVA06 Satakunta wellbeing services county,D61K Employer's social security contributions,1016,1039,1012,1023,1037,985
S14 Households,HVA06 Satakunta wellbeing services county,"D7K Other current transfers, expenditure",198,188,194,189,195,193
S14 Households,HVA06 Satakunta wellbeing services county,"B6N Disposable income, net",4464,4498,4636,4656,4684,4763
S14 Households,HVA06 Kanta-Häme wellbeing services county,"B2N Operating surplus, net",315,325,325,327,320,348
S14 Households,HVA06 Kanta-Häme wellbeing services county,"B3N Mixed income, net",234,248,250,249,255,247
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D11R Wages and salaries received, income",2517,2531,2550,2625,2695,2677
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D12R Employer's social security contributions, income",580,590,546,539,541,507
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",310,295,380,324,413,293
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D4K Property income, expenditure",32,23,19,21,21,17
S14 Households,HVA06 Kanta-Häme wellbeing services county,B5N Net national income,3924,3965,4031,4043,4203,4055
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1387,1402,1418,1434,1464,1527
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D7R Other current transfers, income",75,75,86,78,83,78
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",865,877,883,876,919,904
S14 Households,HVA06 Kanta-Häme wellbeing services county,D61K Employer's social security contributions,848,868,838,842,857,820
S14 Households,HVA06 Kanta-Häme wellbeing services county,"D7K Other current transfers, expenditure",138,130,135,133,137,134
S14 Households,HVA06 Kanta-Häme wellbeing services county,"B6N Disposable income, net",3535,3567,3679,3703,3836,3801
S14 Households,HVA08 Pirkanmaa wellbeing services county,"B2N Operating surplus, net",817,841,839,847,828,843
S14 Households,HVA08 Pirkanmaa wellbeing services county,"B3N Mixed income, net",698,735,741,717,721,732
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D11R Wages and salaries received, income",7404,7542,7700,8124,8462,8481
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D12R Employer's social security contributions, income",1716,1766,1655,1674,1706,1612
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",992,927,1045,1123,998,1101
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D4K Property income, expenditure",82,61,51,58,58,47
S14 Households,HVA08 Pirkanmaa wellbeing services county,B5N Net national income,11546,11750,11929,12428,12656,12723
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D62R Social benefits other than social transfers in kind, income",3901,3961,3993,4035,4141,4350
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D7R Other current transfers, income",198,199,228,208,223,210
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",2582,2635,2640,2716,2769,2848
S14 Households,HVA08 Pirkanmaa wellbeing services county,D61K Employer's social security contributions,2500,2588,2531,2607,2688,2597
S14 Households,HVA08 Pirkanmaa wellbeing services county,"D7K Other current transfers, expenditure",399,383,395,390,405,397
S14 Households,HVA08 Pirkanmaa wellbeing services county,"B6N Disposable income, net",10164,10303,10583,10958,11159,11441
S14 Households,HVA09 Päijät-Häme wellbeing services county,"B2N Operating surplus, net",339,349,347,350,342,363
S14 Households,HVA09 Päijät-Häme wellbeing services county,"B3N Mixed income, net",295,304,310,320,308,303
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D11R Wages and salaries received, income",2748,2783,2820,2917,3002,2954
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D12R Employer's social security contributions, income",637,653,607,602,606,562
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",385,363,460,407,493,428
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D4K Property income, expenditure",32,24,20,22,22,17
S14 Households,HVA09 Päijät-Häme wellbeing services county,B5N Net national income,4371,4428,4524,4575,4728,4593
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1727,1746,1767,1786,1823,1907
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D7R Other current transfers, income",82,84,94,85,92,87
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",993,1003,1011,1014,1060,1052
S14 Households,HVA09 Päijät-Häme wellbeing services county,D61K Employer's social security contributions,932,961,932,941,962,912
S14 Households,HVA09 Päijät-Häme wellbeing services county,"D7K Other current transfers, expenditure",155,146,152,149,154,150
S14 Households,HVA09 Päijät-Häme wellbeing services county,"B6N Disposable income, net",4100,4147,4290,4341,4467,4473
S14 Households,HVA10 Kymenlaakso wellbeing services county,"B2N Operating surplus, net",303,309,308,301,282,332
S14 Households,HVA10 Kymenlaakso wellbeing services county,"B3N Mixed income, net",198,203,204,180,191,199
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D11R Wages and salaries received, income",2281,2270,2289,2381,2449,2425
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D12R Employer's social security contributions, income",523,527,487,486,489,457
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",265,256,336,339,338,250
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D4K Property income, expenditure",23,17,14,16,16,12
S14 Households,HVA10 Kymenlaakso wellbeing services county,B5N Net national income,3546,3547,3610,3672,3733,3650
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1550,1560,1561,1556,1572,1628
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D7R Other current transfers, income",73,75,83,75,81,78
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",841,849,848,847,869,877
S14 Households,HVA10 Kymenlaakso wellbeing services county,D61K Employer's social security contributions,773,783,757,769,780,745
S14 Households,HVA10 Kymenlaakso wellbeing services county,"D7K Other current transfers, expenditure",138,129,134,131,134,132
S14 Households,HVA10 Kymenlaakso wellbeing services county,"B6N Disposable income, net",3417,3421,3515,3557,3602,3602
S14 Households,HVA11 South Karelia wellbeing services county,"B2N Operating surplus, net",206,210,208,217,219,284
S14 Households,HVA11 South Karelia wellbeing services county,"B3N Mixed income, net",177,181,180,182,183,177
S14 Households,HVA11 South Karelia wellbeing services county,"D11R Wages and salaries received, income",1752,1742,1757,1825,1865,1848
S14 Households,HVA11 South Karelia wellbeing services county,"D12R Employer's social security contributions, income",406,408,377,376,376,351
S14 Households,HVA11 South Karelia wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",214,199,278,244,258,191
S14 Households,HVA11 South Karelia wellbeing services county,"D4K Property income, expenditure",19,14,12,13,13,10
S14 Households,HVA11 South Karelia wellbeing services county,B5N Net national income,2737,2727,2790,2831,2889,2842
S14 Households,HVA11 South Karelia wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1127,1138,1139,1143,1160,1210
S14 Households,HVA11 South Karelia wellbeing services county,"D7R Other current transfers, income",54,57,64,58,62,61
S14 Households,HVA11 South Karelia wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",639,638,631,629,639,649
S14 Households,HVA11 South Karelia wellbeing services county,D61K Employer's social security contributions,598,605,584,594,598,572
S14 Households,HVA11 South Karelia wellbeing services county,"D7K Other current transfers, expenditure",104,97,101,100,103,103
S14 Households,HVA11 South Karelia wellbeing services county,"B6N Disposable income, net",2578,2581,2675,2710,2770,2788
S14 Households,HVA12 South Savo wellbeing services county,"B2N Operating surplus, net",255,258,256,252,238,261
S14 Households,HVA12 South Savo wellbeing services county,"B3N Mixed income, net",279,297,305,311,309,271
S14 Households,HVA12 South Savo wellbeing services county,"D11R Wages and salaries received, income",1644,1643,1650,1700,1723,1687
S14 Households,HVA12 South Savo wellbeing services county,"D12R Employer's social security contributions, income",381,385,355,351,348,321
S14 Households,HVA12 South Savo wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",262,242,302,277,299,229
S14 Households,HVA12 South Savo wellbeing services county,"D4K Property income, expenditure",23,17,15,16,16,13
S14 Households,HVA12 South Savo wellbeing services county,B5N Net national income,2799,2808,2854,2875,2899,2756
S14 Households,HVA12 South Savo wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1224,1232,1236,1241,1256,1303
S14 Households,HVA12 South Savo wellbeing services county,"D7R Other current transfers, income",60,63,71,64,69,66
S14 Households,HVA12 South Savo wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",627,636,632,628,638,645
S14 Households,HVA12 South Savo wellbeing services county,D61K Employer's social security contributions,563,572,551,553,555,525
S14 Households,HVA12 South Savo wellbeing services county,"D7K Other current transfers, expenditure",113,106,110,107,110,108
S14 Households,HVA12 South Savo wellbeing services county,"B6N Disposable income, net",2779,2788,2868,2892,2921,2848
S14 Households,HVA13 North Savo wellbeing services county,"B2N Operating surplus, net",410,420,418,418,414,431
S14 Households,HVA13 North Savo wellbeing services county,"B3N Mixed income, net",413,434,452,474,480,463
S14 Households,HVA13 North Savo wellbeing services county,"D11R Wages and salaries received, income",3210,3258,3316,3470,3585,3573
S14 Households,HVA13 North Savo wellbeing services county,"D12R Employer's social security contributions, income",745,764,713,716,724,680
S14 Households,HVA13 North Savo wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",411,426,487,488,507,414
S14 Households,HVA13 North Savo wellbeing services county,"D4K Property income, expenditure",47,34,29,32,32,25
S14 Households,HVA13 North Savo wellbeing services county,B5N Net national income,5142,5267,5358,5534,5677,5535
S14 Households,HVA13 North Savo wellbeing services county,"D62R Social benefits other than social transfers in kind, income",2047,2064,2067,2083,2125,2217
S14 Households,HVA13 North Savo wellbeing services county,"D7R Other current transfers, income",103,108,124,112,122,116
S14 Households,HVA13 North Savo wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1146,1178,1159,1187,1210,1228
S14 Households,HVA13 North Savo wellbeing services county,D61K Employer's social security contributions,1094,1129,1100,1123,1147,1101
S14 Households,HVA13 North Savo wellbeing services county,"D7K Other current transfers, expenditure",197,188,195,191,197,193
S14 Households,HVA13 North Savo wellbeing services county,"B6N Disposable income, net",4856,4945,5095,5229,5370,5346
S14 Households,HVA14 North Karelia wellbeing services county,"B2N Operating surplus, net",264,268,266,275,279,300
S14 Households,HVA14 North Karelia wellbeing services county,"B3N Mixed income, net",281,282,293,299,292,286
S14 Households,HVA14 North Karelia wellbeing services county,"D11R Wages and salaries received, income",1908,1914,1944,2024,2081,2063
S14 Households,HVA14 North Karelia wellbeing services county,"D12R Employer's social security contributions, income",443,449,418,417,420,392
S14 Households,HVA14 North Karelia wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",281,259,330,318,355,293
S14 Households,HVA14 North Karelia wellbeing services county,"D4K Property income, expenditure",28,21,17,19,19,15
S14 Households,HVA14 North Karelia wellbeing services county,B5N Net national income,3148,3150,3233,3314,3408,3320
S14 Households,HVA14 North Karelia wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1391,1405,1407,1414,1437,1496
S14 Households,HVA14 North Karelia wellbeing services county,"D7R Other current transfers, income",72,76,84,76,82,78
S14 Households,HVA14 North Karelia wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",696,701,693,700,711,718
S14 Households,HVA14 North Karelia wellbeing services county,D61K Employer's social security contributions,651,665,647,657,668,638
S14 Households,HVA14 North Karelia wellbeing services county,"D7K Other current transfers, expenditure",132,125,130,127,132,130
S14 Households,HVA14 North Karelia wellbeing services county,"B6N Disposable income, net",3131,3140,3255,3321,3416,3408
S14 Households,HVA15 Central Finland wellbeing services county,"B2N Operating surplus, net",452,467,466,470,460,463
S14 Households,HVA15 Central Finland wellbeing services county,"B3N Mixed income, net",389,409,436,439,434,443
S14 Households,HVA15 Central Finland wellbeing services county,"D11R Wages and salaries received, income",3488,3569,3668,3818,3944,3930
S14 Households,HVA15 Central Finland wellbeing services county,"D12R Employer's social security contributions, income",808,836,789,787,795,747
S14 Households,HVA15 Central Finland wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",470,442,531,555,478,531
S14 Households,HVA15 Central Finland wellbeing services county,"D4K Property income, expenditure",41,31,26,29,30,23
S14 Households,HVA15 Central Finland wellbeing services county,B5N Net national income,5566,5692,5864,6040,6081,6091
S14 Households,HVA15 Central Finland wellbeing services county,"D62R Social benefits other than social transfers in kind, income",2153,2167,2177,2191,2233,2336
S14 Households,HVA15 Central Finland wellbeing services county,"D7R Other current transfers, income",107,109,125,114,125,118
S14 Households,HVA15 Central Finland wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",1233,1259,1268,1288,1302,1340
S14 Households,HVA15 Central Finland wellbeing services county,D61K Employer's social security contributions,1184,1232,1212,1232,1258,1208
S14 Households,HVA15 Central Finland wellbeing services county,"D7K Other current transfers, expenditure",214,205,211,206,213,210
S14 Households,HVA15 Central Finland wellbeing services county,"B6N Disposable income, net",5196,5272,5475,5620,5666,5786
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"B2N Operating surplus, net",346,355,350,352,342,367
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"B3N Mixed income, net",366,371,390,367,426,411
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D11R Wages and salaries received, income",2398,2413,2452,2554,2632,2622
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D12R Employer's social security contributions, income",556,566,528,527,532,499
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",389,379,413,389,370,397
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D4K Property income, expenditure",45,33,27,31,31,24
S14 Households,HVA16 South Ostrobothnia wellbeing services county,B5N Net national income,4012,4050,4105,4157,4271,4271
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D62R Social benefits other than social transfers in kind, income",1463,1473,1478,1480,1509,1574
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D7R Other current transfers, income",91,95,110,100,109,102
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",865,876,869,877,905,905
S14 Households,HVA16 South Ostrobothnia wellbeing services county,D61K Employer's social security contributions,815,835,812,825,843,809
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"D7K Other current transfers, expenditure",178,170,176,173,179,176
S14 Households,HVA16 South Ostrobothnia wellbeing services county,"B6N Disposable income, net",3707,3738,3836,3863,3962,4058
S14 Households,HVA17 Ostrobothnia wellbeing services county,"B2N Operating surplus, net",285,293,296,296,287,299
S14 Households,HVA17 Ostrobothnia wellbeing services county,"B3N Mixed income, net",293,284,299,296,335,339
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D11R Wages and salaries received, income",2554,2556,2581,2680,2764,2749
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D12R Employer's social security contributions, income",593,600,556,553,558,523
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D4OMR  Property income, (incl. holding gains and losses), income",358,368,361,377,350,391
S14 Households,HVA17 Ostrobothnia wellbeing services county,"D4K Property income, expenditure",33,24,20,23,24,19
